"CN 2008 - PRODCOM 2008",,
"Source","Target"
"0401 30 99","10.51.12.40"
"0402 10 11","10.51.21.30"
"0402 10 19","10.51.21.60"
"0402 10 91","10.51.21.30"
"0402 10 99","10.51.21.60"
"0402 21 11","10.51.22.30"
"0402 21 17","10.51.22.60"
"0402 21 19","10.51.22.60"
"0402 21 91","10.51.22.30"
"0402 21 99","10.51.22.60"
"0402 29 11","10.51.22.30"
"0402 29 15","10.51.22.30"
"0402 29 19","10.51.22.60"
"0402 29 91","10.51.22.30"
"0402 29 99","10.51.22.60"
"0402 91 10","10.51.51.04"
"0402 91 30","10.51.51.04"
"0402 91 51","10.51.51.04"
"0402 91 59","10.51.51.04"
"0402 91 91","10.51.51.04"
"0402 91 99","10.51.51.04"
"0402 99 10","10.51.51.08"
"0402 99 31","10.51.51.08"
"0402 99 39","10.51.51.08"
"0402 99 91","10.51.51.08"
"0402 99 99","10.51.51.08"
"0403 10 11","10.51.52.41"
"0403 10 13","10.51.52.41"
"0403 10 19","10.51.52.41"
"0403 10 31","10.51.52.41"
"0403 10 33","10.51.52.41"
"0403 10 39","10.51.52.41"
"0403 10 51","10.51.52.41"
"0403 10 53","10.51.52.41"
"0403 10 59","10.51.52.41"
"0403 10 91","10.51.52.45"
"0403 10 93","10.51.52.45"
"0403 10 99","10.51.52.45"
"0403 90 11","10.51.52.63"
"0403 90 13","10.51.52.41"
"0403 90 19","10.51.52.41"
"0403 90 31","10.51.52.41"
"0403 90 33","10.51.52.41"
"0403 90 39","10.51.52.41"
"0403 90 51","10.51.52.65"
"0403 90 53","10.51.52.41"
"0403 90 59","10.51.52.41"
"0403 90 61","10.51.52.41"
"0403 90 63","10.51.52.41"
"0403 90 69","10.51.52.41"
"0403 90 71","10.51.52.41"
"0403 90 73","10.51.52.41"
"0403 90 79","10.51.52.41"
"0403 90 91","10.51.52.45"
"0403 90 93","10.51.52.45"
"0403 90 99","10.51.52.45"
"0404 10 02","10.51.55.30"
"0404 10 04","10.51.55.30"
"0404 10 06","10.51.55.30"
"0404 10 12","10.51.55.30"
"0404 10 14","10.51.55.30"
"0404 10 16","10.51.55.30"
"0404 10 26","10.51.55.30"
"0404 10 28","10.51.55.30"
"0404 10 32","10.51.55.30"
"0404 10 34","10.51.55.30"
"0404 10 36","10.51.55.30"
"0404 10 38","10.51.55.30"
"0404 10 48","10.51.55.60"
"0404 10 52","10.51.55.60"
"0404 10 54","10.51.55.60"
"0404 10 56","10.51.55.60"
"0404 10 58","10.51.55.60"
"0404 10 62","10.51.55.60"
"0404 10 72","10.51.55.60"
"0404 10 74","10.51.55.60"
"0404 10 76","10.51.55.60"
"0404 10 78","10.51.55.60"
"0404 10 82","10.51.55.60"
"0404 10 84","10.51.55.60"
"0404 90 21","10.51.56.00"
"0404 90 23","10.51.56.00"
"0404 90 29","10.51.56.00"
"0404 90 81","10.51.56.00"
"0404 90 83","10.51.56.00"
"0404 90 89","10.51.56.00"
"0405 10 11","10.51.30.30"
"0405 10 19","10.51.30.30"
"0405 10 30","10.51.30.30"
"0405 10 50","10.51.30.30"
"0405 10 90","10.51.30.50"
"0405 20 10","10.51.30.70"
"0405 20 30","10.51.30.70"
"0405 20 90","10.51.30.70"
"0405 90 10","10.51.30.50"
"0405 90 90","10.51.30.50"
"0406 10 20","10.51.40.30"
"0406 10 80","10.51.40.30"
"0406 20 10","10.51.40.50"
"0406 20 90","10.51.40.50"
"0406 30 10","10.51.40.70"
"0406 30 31","10.51.40.70"
"0406 30 39","10.51.40.70"
"0406 30 90","10.51.40.70"
"0406 40 10","10.51.40.50"
"0406 40 50","10.51.40.50"
"0406 40 90","10.51.40.50"
"0406 90 01","10.51.40.50"
"0406 90 13","10.51.40.50"
"0406 90 15","10.51.40.50"
"0406 90 17","10.51.40.50"
"0406 90 18","10.51.40.50"
"0406 90 19","10.51.40.50"
"0406 90 21","10.51.40.50"
"0406 90 23","10.51.40.50"
"0406 90 25","10.51.40.50"
