"Year","PRODCOM code","CN code"
"2003","27109210","73011000"
"2003","27109220","73012000"
"2003","27109230","73021010"
"2003","27109230","73021031"
"2003","27109230","73021039"
"2003","27109230","73021090"
"2003","27109230","73023000"
"2003","27109230","73024010"
"2003","27109230","73024090"
"2003","27109230","73029020"
"2003","27109230","73029030"
"2003","27109230","73029090"
"2003","27321024","72112391"
"2003","27321024","72261930"
"2003","27321024","72261990"
"2003","27321026","72261110"
"2003","27321026","72261190"
"2003","27322012","72126011"
"2003","27322012","72126019"
"2003","27322012","72126093"
"2003","27322012","72126099"
"2003","29421153","84563019"
"2003","29421155","84563090"
"2003","29421170","84569100"
"2003","29421170","84569910"
"2003","29421170","84569930"
"2003","29421170","84569950"
"2003","29421170","84569980"
"2003","29421220","84571010"
"2003","29421240","84571090"
"2003","29421250","84572000"
"2003","29421270","84573010"
"2003","29421270","84573090"
"2003","29422123","84581120"
"2003","29422127","84581141"
"2003","29422127","84581149"
"2003","29422129","84581180"
"2003","29422143","84581920"
"2003","29422147","84581940"
"2003","29422149","84581980"
"2003","29422163","84589120"
"2003","29422169","84589180"
"2003","29422190","84589900"
"2003","29422213","84592100"
"2003","29422217","84595100"
"2003","29422223","84596110"
"2003","29422225","84596190"
"2003","29422233","84591000"
"2003","29422235","84592900"
"2003","29422240","84593100"
"2003","29422240","84594010"
"2003","29422260","84593900"
"2003","29422260","84594090"
"2003","29422277","84595900"
"2003","29422287","84596910"
"2003","29422287","84596990"
"2003","29422300","84597000"
"2003","29423113","84601100"
"2003","29423115","84602111"
"2003","29423115","84602115"
"2003","29423115","84602119"
"2003","29423117","84602190"
"2003","29423123","84601900"
"2003","29423125","84602911"
"2003","29423125","84602919"
"2003","29423127","84602990"
"2003","29423131","84603100"
"2003","29423133","84603900"
"2003","29423135","84604010"
"2003","29423135","84604090"
"2003","29423137","84609010"
"2003","29423137","84609090"
"2003","29423157","84613010"
"2003","29423157","84613090"
"2003","29423173","84614011"
"2003","29423173","84614031"
"2003","29423173","84614071"
"2003","29423175","84614019"
"2003","29423175","84614039"
"2003","29423175","84614079"
"2003","29423175","84614090"
"2003","29423183","84615011"
"2003","29423183","84615019"
"2003","29423190","84612000"
"2003","29423190","84619000"
"2003","29423233","84622110"
"2003","29423235","84622105"
"2003","29423235","84622180"
"2003","29423250","84623100"
"2003","29423270","84624110"
"2003","29423270","84624190"
"2003","29423333","84622910"
"2003","29423335","84622905"
"2003","29423335","84622991"
"2003","29423335","84622998"
"2003","29423350","84623910"
"2003","29423350","84623991"
"2003","29423350","84623999"
"2003","29423370","84624910"
"2003","29423370","84624990"
"2003","29423410","84621010"
"2003","29423420","84621090"
"2003","29423430","84629110"
"2003","29423430","84629910"
"2003","29423440","84629150"
"2003","29423470","84629950"
"2003","29423510","84631010"
"2003","29423510","84631090"
"2003","29423530","84632000"
"2003","29423550","84633000"
"2003","29423570","84639000"
"2003","29424030","84669315"
"2003","29424030","84669317"
"2003","29424030","84669395"
"2003","29424050","84669410"
"2003","29424050","84669490"
"2003","29431130","84641010"
"2003","29431130","84641090"
"2003","29431150","84642005"
"2003","29431150","84642011"
"2003","29431150","84642019"
"2003","29431150","84642020"
"2003","29431150","84642095"
"2003","29431170","84649010"
"2003","29431170","84649020"
"2003","29431170","84649080"
"2003","29431210","84651010"
"2003","29431220","84651090"
"2003","29431233","84659110"
"2003","29431235","84659120"
"2003","29431237","84659190"
"2003","29431250","84659200"
"2003","29431263","84659300"
"2003","29431265","84659400"
"2003","29431267","84659500"
"2003","29431270","84659600"
"2003","29431283","84659910"
"2003","29431285","84659990"
"2003","29431287","84793010"
