"Order","Level","Code","Parent","Code","Parent","Description","Self-explanatory texts","Supplementary unit","Description of supplementary unit"
"314847","8","020319590080","020319550010","0203 19 59",,"----- Other","Fresh or chilled boneless meat of domestic swine (excl. carcases and half-carcases, hams, shoulders and cuts thereof, and fore-ends, loins, bellies and cuts thereof)",,
"314848","6","020319900080","020319000080","0203 19 90","0203 19","--- Other","Fresh or chilled meat of non-domestic swine (excl. carcases and half-carcases, hams, shoulders and cuts thereof, boneless)",,
"314849","4","020321000010","020300000080",,"0203","- Frozen",,,
"314850","5","020321000080","020321000010","0203 21",,"-- Carcases and half-carcases","Frozen carcases and half-carcases of swine",,
"314851","6","020321100080","020321000080","0203 21 10","0203 21","--- Of domestic swine","Frozen domestic swine carcases and half-carcases",,
"314852","6","020321900080","020321000080","0203 21 90","0203 21","--- Other","Frozen non-domestic swine carcases and half-carcases",,
"314853","5","020322000080","020321000010","0203 22",,"-- Hams, shoulders and cuts thereof, with bone in","Frozen hams, shoulders and cuts thereof of swine, boneless",,
"314854","6","020322110010","020322000080",,"0203 22","--- Of domestic swine",,,
"314855","7","020322110080","020322110010","0203 22 11",,"---- Hams and cuts thereof","Frozen boneless hams and cuts thereof of domestic swine",,
"314856","7","020322190080","020322110010","0203 22 19",,"---- Shoulders and cuts thereof","Frozen boneless shoulders and cuts thereof of domestic swine",,
"314857","6","020322900080","020322000080","0203 22 90","0203 22","--- Other","Frozen boneless hams, shoulders and cuts thereof of non-domestic swine",,
"314858","5","020329000080","020321000010","0203 29",,"-- Other","Frozen meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, boneless)",,
"314859","6","020329110010","020329000080",,"0203 29","--- Of domestic swine",,,
"314860","7","020329110080","020329110010","0203 29 11",,"---- Fore-ends and cuts thereof","Frozen fore-ends and cuts thereof of domestic swine",,
"314861","7","020329130080","020329110010","0203 29 13",,"---- Loins and cuts thereof, with bone in","Frozen loins and cuts thereof of domestic swine, with bone in",,
"314862","7","020329150080","020329110010","0203 29 15",,"---- Bellies (streaky) and cuts thereof","Frozen bellies ""streaky"" and cuts thereof of domestic swine",,
"314863","7","020329550010","020329110010",,,"---- Other",,,
