"Order","Level","Code","Parent","Code","Parent","Description","Self-explanatory texts","Supplementary unit"
"485087","6","020443900080","020443000080","0204 43 90","0204 43","Other","Frozen meat of sheep, boneless (excl. lamb)","-"
"485088","4","020450000080","020400000080","0204 50","0204","Meat of goats","Fresh, chilled or frozen meat of goats",
"485089","5","020450110010","020450000080",,"0204 50","Fresh or chilled",,
"485090","6","020450110080","020450110010","0204 50 11",,"Carcases and half-carcases","Fresh or chilled goat carcases and half-carcases","-"
"485091","6","020450130080","020450110010","0204 50 13",,"Short forequarters","Fresh or chilled goat short forequarters","-"
"485092","6","020450150080","020450110010","0204 50 15",,"Chines and/or best ends","Fresh or chilled goat chines and/or best ends","-"
"485093","6","020450190080","020450110010","0204 50 19",,"Legs","Fresh or chilled legs of goat","-"
"485094","6","020450310010","020450110010",,,"Other",,
"485095","7","020450310080","020450310010","0204 50 31",,"Cuts with bone in","Fresh or chilled cuts of goat, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)","-"
"485096","7","020450390080","020450310010","0204 50 39",,"Boneless cuts","Fresh or chilled boneless cuts of goat","-"
"485097","5","020450510010","020450000080",,"0204 50","Frozen",,
"485098","6","020450510080","020450510010","0204 50 51",,"Carcases and half-carcases","Frozen goat carcases and half-carcases","-"
"485099","6","020450530080","020450510010","0204 50 53",,"Short forequarters","Frozen goat short forequarters","-"
"485100","6","020450550080","020450510010","0204 50 55",,"Chines and/or best ends","Frozen goat chines and/or best ends","-"
"485101","6","020450590080","020450510010","0204 50 59",,"Legs","Frozen goat legs","-"
"485102","6","020450710010","020450510010",,,"Other",,
"485103","7","020450710080","020450710010","0204 50 71",,"Cuts with bone in","Frozen cuts of goat, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)","-"
"485104","7","020450790080","020450710010","0204 50 79",,"Boneless cuts","Frozen boneless cuts of goat","-"
"485105","3","020500000080","020020000090","0205 00","02","Meat of horses, asses, mules or hinnies, fresh, chilled or frozen","Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",
"485106","4","020500110010","020500000080",,"0205 00","Of horses",,
"485107","5","020500110080","020500110010","0205 00 11",,"Fresh or chilled","Fresh or chilled meat of horses","-"
"485108","5","020500190080","020500110010","0205 00 19",,"Frozen","Frozen meat of horses","-"
"485109","4","020500900080","020500000080","0205 00 90","0205 00","Of asses, mules or hinnies","Fresh, chilled or frozen meat of asses, mules or hinnies","-"
"485110","3","020600000080","020020000090","0206","02","Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen","Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen",
"485111","4","020610000080","020600000080","0206 10","0206","Of bovine animals, fresh or chilled","Fresh or chilled edible offal of bovine animals",
"485112","5","020610100080","020610000080","0206 10 10","0206 10","For the manufacture of pharmaceutical products","Fresh or chilled edible bovine offal for manufacture of pharmaceutical products","-"
"485113","5","020610910010","020610000080",,"0206 10","Other",,
"485114","6","020610910080","020610910010","0206 10 91",,"Livers","Fresh or chilled edible bovine livers (excl. for manufacture of pharmaceutical products)","-"
"485115","6","020610950080","020610910010","0206 10 95",,"Thick skirt and thin skirt","Fresh or chilled edible bovine thick and thin skirt (excl. for manufacture of pharmaceutical products)","-"
"485116","6","020610990080","020610910010","0206 10 99",,"Other","Fresh or chilled edible bovine offal (excl. for manufacture of pharmaceutical products, livers and thick and thin skirt)","-"
"485117","4","020621000010","020600000080",,"0206","Of bovine animals, frozen",,
"485118","5","020621000080","020621000010","0206 21 00",,"Tongues","Frozen edible bovine tongues","-"
"485119","5","020622000080","020621000010","0206 22 00",,"Livers","Frozen edible bovine livers","-"
"485120","5","020629000080","020621000010","0206 29",,"Other","Frozen edible bovine offal (excl. tongues and livers)",
"485121","6","020629100080","020629000080","0206 29 10","0206 29","For the manufacture of pharmaceutical products","Frozen edible bovine offal for manufacture of pharmaceutical products (excl. tongues and livers)","-"
"485122","6","020629910010","020629000080",,"0206 29","Other",,
"485123","7","020629910080","020629910010","0206 29 91",,"Thick skirt and thin skirt","Frozen edible bovine thick and thin skirt (excl. for manufacture of pharmaceutical products)","-"
"485124","7","020629990080","020629910010","0206 29 99",,"Other","Frozen edible bovine offal (excl. for manufacture of pharmaceutical products, tongues, livers and thick and thin skirt)","-"
"485125","4","020630000080","020600000080","0206 30","0206","Of swine, fresh or chilled","Fresh or chilled edible offal of swine",
"485126","5","020630200010","020630000080",,"0206 30","Of domestic swine",,
"485127","6","020630200080","020630200010","0206 30 20",,"Livers","Fresh or chilled edible livers of domestic swine","-"
"485128","6","020630300080","020630200010","0206 30 30",,"Other","Fresh or chilled edible domestic swine offal (excl. livers)","-"
"485129","5","020630800080","020630000080","0206 30 80","0206 30","Other","Fresh or chilled edible non-domestic swine offal","-"
"485130","4","020641000010","020600000080",,"0206","Of swine, frozen",,
"485131","5","020641000080","020641000010","0206 41",,"Livers","Frozen edible livers of swine",
"485132","6","020641200080","020641000080","0206 41 20","0206 41","Of domestic swine","Frozen edible livers of domestic swine","-"
"485133","6","020641800080","020641000080","0206 41 80","0206 41","Other","Frozen edible non-domestic swine livers","-"
"485134","5","020649000080","020641000010","0206 49",,"Other","Edible offal of swine, frozen (excl. livers)",
"485135","6","020649200080","020649000080","0206 49 20","0206 49","Of domestic swine","Frozen edible offal of domestic swine (excl. livers)","-"
"485136","6","020649800080","020649000080","0206 49 80","0206 49","Other","Frozen edible offal of non-domestic swine (excl. livers)","-"
"485137","4","020680000080","020600000080","0206 80","0206","Other, fresh or chilled","Fresh or chilled edible offal of sheep, goats, horses, asses, mules and hinnies",
