cn2003	pc2003	many_one	one_many	many_many	simple	pc8plus	synthetic	notpc
"02032955"	"15111490"	1	0	0	0	"15111490"	0	0
"02032959"	"15111490"	1	0	0	0	"15111490"	0	0
"02032990"	"15111490"	1	0	0	0	"15111490"	0	0
"02041000"	"15111500"	1	0	0	0	"15111500"	0	0
"02042100"	"15111500"	1	0	0	0	"15111500"	0	0
"02042210"	"15111500"	1	0	0	0	"15111500"	0	0
"02042230"	"15111500"	1	0	0	0	"15111500"	0	0
"02042250"	"15111500"	1	0	0	0	"15111500"	0	0
"02042290"	"15111500"	1	0	0	0	"15111500"	0	0
"02042300"	"15111500"	1	0	0	0	"15111500"	0	0
"02043000"	"15111600"	1	0	0	0	"15111600"	0	0
"02044100"	"15111600"	1	0	0	0	"15111600"	0	0
"02044210"	"15111600"	1	0	0	0	"15111600"	0	0
"02044230"	"15111600"	1	0	0	0	"15111600"	0	0
"02044250"	"15111600"	1	0	0	0	"15111600"	0	0
"02044290"	"15111600"	1	0	0	0	"15111600"	0	0
"02044310"	"15111600"	1	0	0	0	"15111600"	0	0
"02044390"	"15111600"	1	0	0	0	"15111600"	0	0
"02045011"	"15111700"	1	0	0	0	"15111700"	0	0
"02045013"	"15111700"	1	0	0	0	"15111700"	0	0
"02045015"	"15111700"	1	0	0	0	"15111700"	0	0
"02045019"	"15111700"	1	0	0	0	"15111700"	0	0
"02045031"	"15111700"	1	0	0	0	"15111700"	0	0
"02045039"	"15111700"	1	0	0	0	"15111700"	0	0
"02045051"	"15111700"	1	0	0	0	"15111700"	0	0
"02045053"	"15111700"	1	0	0	0	"15111700"	0	0
"02045055"	"15111700"	1	0	0	0	"15111700"	0	0
"02045059"	"15111700"	1	0	0	0	"15111700"	0	0
"02045071"	"15111700"	1	0	0	0	"15111700"	0	0
"02045079"	"15111700"	1	0	0	0	"15111700"	0	0
"02050011"	"15111800"	1	0	0	0	"15111800"	0	0
"02050019"	"15111800"	1	0	0	0	"15111800"	0	0
"02050090"	"15111800"	1	0	0	0	"15111800"	0	0
"02061010"	"15111900"	1	0	0	0	"15111900"	0	0
"02061091"	"15111900"	1	0	0	0	"15111900"	0	0
"02061095"	"15111900"	1	0	0	0	"15111900"	0	0
"02061099"	"15111900"	1	0	0	0	"15111900"	0	0
"02062100"	"15111900"	1	0	0	0	"15111900"	0	0
"02062200"	"15111900"	1	0	0	0	"15111900"	0	0
"02062910"	"15111900"	1	0	0	0	"15111900"	0	0
"02062991"	"15111900"	1	0	0	0	"15111900"	0	0
"02062999"	"15111900"	1	0	0	0	"15111900"	0	0
"02063020"	"15111900"	1	0	0	0	"15111900"	0	0
"02063030"	"15111900"	1	0	0	0	"15111900"	0	0
