cn2003	notpc	hs6plus
"09011200"	0	"090112"
"09012100"	0	"090121"
"09012200"	0	"090122"
"09019010"	1	"090190"
"09019090"	0	"090190"
"09021000"	0	"58"
"09022000"	1	""
"09023000"	0	"58"
"09024000"	1	""
"09030000"	1	""
"09041100"	1	""
"09041200"	1	""
"09042010"	1	""
"09042030"	1	""
"09042090"	1	""
"09050000"	1	""
"09061000"	1	""
"09062000"	1	""
"09070000"	1	""
"09081000"	1	""
"09082000"	1	""
"09083000"	1	""
"09091000"	1	""
"09092000"	1	""
"09093000"	1	""
"09094000"	1	""
"09095000"	1	""
"09101000"	1	""
"09102010"	1	""
"09102090"	1	""
"09103000"	1	""
"09104011"	1	""
"09104013"	1	""
"09104019"	1	""
"09104090"	1	""
"09105000"	1	""
"09109110"	1	""
"09109190"	1	""
"09109910"	1	""
"09109991"	1	""
"09109999"	1	""
"10011000"	1	""
"10019010"	1	""
"10019091"	1	""
"10019099"	1	""
"10020000"	1	""
"10030010"	1	""
"10030090"	1	""
"10040000"	1	""
"10051011"	1	""
"10051013"	1	""
"10051015"	1	""
"10051019"	1	""
"10051090"	1	""
"10059000"	1	""
"10061010"	1	""
"10061021"	1	""
"10061023"	1	""
"10061025"	1	""
"10061027"	1	""
"10061092"	1	""
"10061094"	1	""
"10061096"	1	""
"10061098"	1	""
"10062011"	0	"100620"
"10062013"	0	"100620"
"10062015"	0	"100620"
"10062017"	0	"100620"
"10062092"	0	"100620"
"10062094"	0	"100620"
"10062096"	0	"100620"
"10062098"	0	"100620"
"10063021"	0	"100630"
"10063023"	0	"100630"
"10063025"	0	"100630"
"10063027"	0	"100630"
"10063042"	0	"100630"
"10063044"	0	"100630"
"10063046"	0	"100630"
"10063048"	0	"100630"
"10063061"	0	"100630"
"10063063"	0	"100630"
"10063065"	0	"100630"
"10063067"	0	"100630"
"10063092"	0	"100630"
"10063094"	0	"100630"
"10063096"	0	"100630"
"10063098"	0	"100630"
"10064000"	0	"100640"
"10070010"	1	""
"10070090"	1	""
"10081000"	1	""
"10082000"	1	""
"10083000"	1	""
"10089010"	1	""
"10089090"	1	""
"11010011"	0	"110100"
"11010015"	0	"110100"
"11010090"	0	"110100"
"11021000"	0	"48"
"11022010"	0	"48"
"11022090"	0	"48"
"11023000"	0	"48"
"11029010"	0	"48"
"11029030"	0	"48"
"11029090"	0	"48"
"11031110"	0	"110311"
"11031190"	0	"110311"
"11031310"	0	"50"
"11031390"	0	"50"
"11031910"	0	"50"
"11031930"	0	"50"
"11031940"	0	"50"
